uri,lcsh_topic,lcsh_t1,count
http://bnb.data.bl.uk/id/resource/003368177,Electronic commerce,Electronic commerce,12
http://bnb.data.bl.uk/id/resource/003369536,Piezoelectricity,Piezoelectricity,1
http://bnb.data.bl.uk/id/resource/003392367,Reading (Primary),Reading (Primary),3
http://bnb.data.bl.uk/id/resource/003400415,"Accounting--Problems, exercises, etc.",Accounting,116
http://bnb.data.bl.uk/id/resource/003404013,Income tax--Great Britain--Digests,Income tax,105
http://bnb.data.bl.uk/id/resource/003421761,Presbyterian Church of Ghana--History,Presbyterian Church of Ghana,1
http://bnb.data.bl.uk/id/resource/003424026,City planning--England--Newcastle upon Tyne (England),City planning,146
http://bnb.data.bl.uk/id/resource/003445020,Marine engines,Marine engines,9
http://bnb.data.bl.uk/id/resource/003461330,"Poets, English--20th century--Biography","Poets, English",23
http://bnb.data.bl.uk/id/resource/003489735,California--Emigration and immigration,California,2
http://bnb.data.bl.uk/id/resource/003503574,International cooking,International cooking,12
http://bnb.data.bl.uk/id/resource/003536688,Languages in contact--India,Languages in contact,3176
http://bnb.data.bl.uk/id/resource/003585830,Equality,Equality,3
http://bnb.data.bl.uk/id/resource/003588096,"Day Lewis, C. (Cecil), 1904-1972--Bibliography","Day Lewis, C. (Cecil), 1904-1972",1
http://bnb.data.bl.uk/id/resource/003601535,"World War, 1914-1918--Pictorial works","World War, 1914-1918",37
http://bnb.data.bl.uk/id/resource/003635174,Palestinian Arabs--Education--History,Palestinian Arabs,154
http://bnb.data.bl.uk/id/resource/003664503,Pneumatic machinery,Pneumatic machinery,1
http://bnb.data.bl.uk/id/resource/003726468,Research--United States,Research,65
http://bnb.data.bl.uk/id/resource/003730478,New Jersey--History,New Jersey,1
http://bnb.data.bl.uk/id/resource/003734081,United States--Politics and government--1869-1877--Sources,United States,262
http://bnb.data.bl.uk/id/resource/003763016,Martians,Martians,1
http://bnb.data.bl.uk/id/resource/003825016,Retinal detachment--Congresses,Retinal detachment,4
http://bnb.data.bl.uk/id/resource/003861314,"Portrait painting, English--18th century--Catalogs","Portrait painting, English",1
http://bnb.data.bl.uk/id/resource/003884161,"Peninsular War, 1807-1814","Peninsular War, 1807-1814",4
http://bnb.data.bl.uk/id/resource/003894060,Field hockey,Field hockey,2
http://bnb.data.bl.uk/id/resource/003896472,African languages,African languages,6
http://bnb.data.bl.uk/id/resource/003898821,Homosexuality,Homosexuality,5
http://bnb.data.bl.uk/id/resource/003898822,Paraphilias,Paraphilias,7
http://bnb.data.bl.uk/id/resource/003959349,Philosophy,Philosophy,90
http://bnb.data.bl.uk/id/resource/003963627,Transistor circuits,Transistor circuits,1
http://bnb.data.bl.uk/id/resource/003987113,Linguistics--Research,Linguistics,8
http://bnb.data.bl.uk/id/resource/004046726,Atlases--Great Britain,Atlases,1
http://bnb.data.bl.uk/id/resource/004062492,Judaism--Prayers and devotions--Hebrew,Judaism,22
http://bnb.data.bl.uk/id/resource/004148860,"Warlock, Peter, 1894-1930--Discography","Warlock, Peter, 1894-1930",17
http://bnb.data.bl.uk/id/resource/004155503,Great Britain--Colonies--Administration,Great Britain,3176
http://bnb.data.bl.uk/id/resource/004156074,Bagpipe--History,Bagpipe,2
http://bnb.data.bl.uk/id/resource/004157009,Russian language--Dictionaries--English,Russian language,2148
http://bnb.data.bl.uk/id/resource/004158220,Music--Discography,Music,143
http://bnb.data.bl.uk/id/resource/004158236,Islamic calendar,Islamic calendar,1
http://bnb.data.bl.uk/id/resource/004158898,Great Britain. Parliament. House of Commons--Rules and practice,Great Britain. Parliament. House of Commons,12
http://bnb.data.bl.uk/id/resource/004158900,Art--Indonesia,Art,82
http://bnb.data.bl.uk/id/resource/004159071,Oriental literature--History and criticism,Oriental literature,6
http://bnb.data.bl.uk/id/resource/004159125,Chinese classics,Chinese classics,1
http://bnb.data.bl.uk/id/resource/004159176,"English literature--Early modern, 1500-1700--History and criticism",English literature,110
http://bnb.data.bl.uk/id/resource/004160428,Science--History--Bibliography,Science,453
